test,aligner,motif_len,motif1_len,motif2_len,snv_offset,delta,bridge_len,n_correct,n_obs,prop_correct
single,BWA-no-clip,3,,,0,-5,,415450,1452560,0.2860122817646087
single,BWA-std,3,,,0,-5,,346578,1452560,0.23859806135374786
single,NW-flex,3,,,0,-5,,1425090,1452560,0.9810885608856088
single,BWA-no-clip,3,,,0,-4,,417272,1420040,0.2938452437959494
single,BWA-std,3,,,0,-4,,357298,1420040,0.25161122221909243
single,NW-flex,3,,,0,-4,,1392570,1420040,0.9806554744936762
single,BWA-no-clip,3,,,0,-3,,416502,1387520,0.3001772947416974
single,BWA-std,3,,,0,-3,,368017,1387520,0.2652336542896679
single,NW-flex,3,,,0,-3,,1360050,1387520,0.9802020871771218
single,BWA-no-clip,3,,,0,-2,,416312,1355000,0.3072413284132841
single,BWA-std,3,,,0,-2,,378728,1355000,0.2795040590405904
single,NW-flex,3,,,0,-2,,1327530,1355000,0.9797269372693727
single,BWA-no-clip,3,,,0,-1,,414995,1322480,0.3138005867763596
single,BWA-std,3,,,0,-1,,389347,1322480,0.29440672070655133
single,NW-flex,3,,,0,-1,,1295010,1322480,0.9792284193333737
single,BWA-no-clip,3,,,0,0,,1289960,1289960,1.0
single,BWA-std,3,,,0,0,,1289960,1289960,1.0
single,NW-flex,3,,,0,0,,1262490,1289960,0.978704766039257
single,BWA-no-clip,3,,,0,1,,611684,1257440,0.4864518386563176
single,BWA-std,3,,,0,1,,558151,1257440,0.4438788331848836
single,NW-flex,3,,,0,1,,1229970,1257440,0.9781540272299275
single,BWA-no-clip,3,,,0,2,,596085,1224920,0.4866317800346145
single,BWA-std,3,,,0,2,,509469,1224920,0.4159202233615257
single,NW-flex,3,,,0,2,,1197450,1224920,0.9775740456519609
single,BWA-no-clip,3,,,0,3,,579737,1192400,0.48619339147936935
single,BWA-std,3,,,0,3,,460697,1192400,0.3863611204293861
single,NW-flex,3,,,0,3,,1164930,1192400,0.9769624287151962
single,BWA-no-clip,3,,,0,4,,562945,1159880,0.48534762216781047
single,BWA-std,3,,,0,4,,411917,1159880,0.35513760044142495
single,NW-flex,3,,,0,4,,1132410,1159880,0.9763165155016036
single,BWA-no-clip,3,,,0,5,,546543,1127360,0.48479899943230204
single,BWA-std,3,,,0,5,,363131,1127360,0.3221074013624752
single,NW-flex,3,,,0,5,,1099890,1127360,0.9756333380641499
single,BWA-no-clip,3,,,-1,-5,,1282570,1452560,0.8829721319601256
