pind,arm,delta,correct
400,BWA-no-clip,-5,0.3
400,BWA-std,-5,0.1
400,NW-flex,-5,1.0
400,BWA-no-clip,-4,0.6
400,BWA-std,-4,0.2
400,NW-flex,-4,1.0
400,BWA-no-clip,-3,0.6
400,BWA-std,-3,0.4
400,NW-flex,-3,1.0
400,BWA-no-clip,-2,0.9
400,BWA-std,-2,0.6
400,NW-flex,-2,1.0
400,BWA-no-clip,-1,0.9
400,BWA-std,-1,0.7
400,NW-flex,-1,1.0
400,BWA-no-clip,0,1.0
400,BWA-std,0,1.0
400,NW-flex,0,1.0
400,BWA-no-clip,1,1.0
400,BWA-std,1,0.7
400,NW-flex,1,1.0
400,BWA-no-clip,2,0.9
400,BWA-std,2,0.5
400,NW-flex,2,1.0
400,BWA-no-clip,3,1.0
400,BWA-std,3,0.3
400,NW-flex,3,1.0
400,BWA-no-clip,4,0.8
400,BWA-std,4,0.1
400,NW-flex,4,1.0
400,BWA-no-clip,5,1.0
400,BWA-std,5,0.0
400,NW-flex,5,1.0
401,BWA-no-clip,-5,0.4
401,BWA-std,-5,0.1
401,NW-flex,-5,1.0
401,BWA-no-clip,-4,0.6
401,BWA-std,-4,0.2
401,NW-flex,-4,1.0
401,BWA-no-clip,-3,0.6
401,BWA-std,-3,0.4
401,NW-flex,-3,1.0
401,BWA-no-clip,-2,0.8
401,BWA-std,-2,0.5
401,NW-flex,-2,1.0
401,BWA-no-clip,-1,0.8
401,BWA-std,-1,0.7
401,NW-flex,-1,1.0
401,BWA-no-clip,0,1.0
401,BWA-std,0,1.0
401,NW-flex,0,1.0
401,BWA-no-clip,1,1.0
401,BWA-std,1,0.7
401,NW-flex,1,1.0
401,BWA-no-clip,2,1.0
401,BWA-std,2,0.5
401,NW-flex,2,1.0
401,BWA-no-clip,3,0.9
401,BWA-std,3,0.3
401,NW-flex,3,1.0
401,BWA-no-clip,4,1.0
401,BWA-std,4,0.1
401,NW-flex,4,1.0
401,BWA-no-clip,5,1.0
401,BWA-std,5,0.0
401,NW-flex,5,1.0
402,BWA-no-clip,-5,0.3
402,BWA-std,-5,0.1
402,NW-flex,-5,1.0
402,BWA-no-clip,-4,0.6
402,BWA-std,-4,0.2
402,NW-flex,-4,1.0
402,BWA-no-clip,-3,0.6
402,BWA-std,-3,0.4
402,NW-flex,-3,1.0
402,BWA-no-clip,-2,0.9
402,BWA-std,-2,0.6
402,NW-flex,-2,1.0
402,BWA-no-clip,-1,0.9
402,BWA-std,-1,0.7
402,NW-flex,-1,1.0
402,BWA-no-clip,0,1.0
402,BWA-std,0,1.0
402,NW-flex,0,1.0
402,BWA-no-clip,1,1.0
402,BWA-std,1,0.7
402,NW-flex,1,1.0
402,BWA-no-clip,2,0.9
402,BWA-std,2,0.5
402,NW-flex,2,1.0
402,BWA-no-clip,3,1.0
402,BWA-std,3,0.3
402,NW-flex,3,1.0
402,BWA-no-clip,4,0.8
402,BWA-std,4,0.1
402,NW-flex,4,1.0
402,BWA-no-clip,5,1.0
402,BWA-std,5,0.0
402,NW-flex,5,1.0
403,BWA-no-clip,-5,0.5
403,BWA-std,-5,0.1
403,NW-flex,-5,1.0
403,BWA-no-clip,-4,0.6
403,BWA-std,-4,0.2
403,NW-flex,-4,1.0
403,BWA-no-clip,-3,0.6
403,BWA-std,-3,0.3
403,NW-flex,-3,1.0
403,BWA-no-clip,-2,0.7
403,BWA-std,-2,0.5
403,NW-flex,-2,1.0
403,BWA-no-clip,-1,0.8
403,BWA-std,-1,0.7
403,NW-flex,-1,1.0
403,BWA-no-clip,0,1.0
403,BWA-std,0,1.0
403,NW-flex,0,1.0
403,BWA-no-clip,1,1.0
403,BWA-std,1,0.7
403,NW-flex,1,1.0
403,BWA-no-clip,2,0.9
403,BWA-std,2,0.5
403,NW-flex,2,1.0
403,BWA-no-clip,3,1.0
403,BWA-std,3,0.3
403,NW-flex,3,1.0
403,BWA-no-clip,4,1.0
403,BWA-std,4,0.1
403,NW-flex,4,1.0
