pind,arm,lflank,correct
1480,BWA-no-clip,1,0.5454545454545454
1480,BWA-std,1,0.09090909090909091
1480,NW-flex,1,1.0
1480,BWA-no-clip,2,0.6363636363636364
1480,BWA-std,2,0.09090909090909091
1480,NW-flex,2,1.0
1480,BWA-no-clip,3,0.6363636363636364
1480,BWA-std,3,0.18181818181818182
1480,NW-flex,3,1.0
1480,BWA-no-clip,4,0.8181818181818182
1480,BWA-std,4,0.09090909090909091
1480,NW-flex,4,1.0
1480,BWA-no-clip,5,0.9090909090909091
1480,BWA-std,5,0.2727272727272727
1480,NW-flex,5,1.0
1480,BWA-no-clip,6,0.8181818181818182
1480,BWA-std,6,0.36363636363636365
1480,NW-flex,6,1.0
1480,BWA-no-clip,7,1.0
1480,BWA-std,7,0.2727272727272727
1480,NW-flex,7,1.0
1480,BWA-no-clip,8,1.0
1480,BWA-std,8,0.45454545454545453
1480,NW-flex,8,1.0
1480,BWA-no-clip,9,1.0
1480,BWA-std,9,0.45454545454545453
1480,NW-flex,9,1.0
1480,BWA-no-clip,10,1.0
1480,BWA-std,10,0.45454545454545453
1480,NW-flex,10,1.0
1481,BWA-no-clip,1,0.09090909090909091
1481,BWA-std,1,0.09090909090909091
1481,NW-flex,1,1.0
1481,BWA-no-clip,2,0.18181818181818182
1481,BWA-std,2,0.09090909090909091
1481,NW-flex,2,1.0
1481,BWA-no-clip,3,0.5454545454545454
1481,BWA-std,3,0.09090909090909091
1481,NW-flex,3,1.0
1481,BWA-no-clip,4,0.6363636363636364
1481,BWA-std,4,0.09090909090909091
1481,NW-flex,4,1.0
1481,BWA-no-clip,5,0.6363636363636364
1481,BWA-std,5,0.2727272727272727
1481,NW-flex,5,1.0
1481,BWA-no-clip,6,0.7272727272727273
1481,BWA-std,6,0.36363636363636365
1481,NW-flex,6,1.0
1481,BWA-no-clip,7,0.8181818181818182
1481,BWA-std,7,0.2727272727272727
1481,NW-flex,7,1.0
1481,BWA-no-clip,8,0.9090909090909091
1481,BWA-std,8,0.45454545454545453
1481,NW-flex,8,1.0
1481,BWA-no-clip,9,1.0
1481,BWA-std,9,0.45454545454545453
1481,NW-flex,9,1.0
1481,BWA-no-clip,10,1.0
1481,BWA-std,10,0.45454545454545453
1481,NW-flex,10,1.0
1482,BWA-no-clip,1,0.09090909090909091
1482,BWA-std,1,0.09090909090909091
1482,NW-flex,1,1.0
1482,BWA-no-clip,2,0.09090909090909091
1482,BWA-std,2,0.09090909090909091
1482,NW-flex,2,1.0
1482,BWA-no-clip,3,0.09090909090909091
1482,BWA-std,3,0.09090909090909091
1482,NW-flex,3,1.0
1482,BWA-no-clip,4,0.5454545454545454
1482,BWA-std,4,0.09090909090909091
1482,NW-flex,4,1.0
1482,BWA-no-clip,5,0.8181818181818182
1482,BWA-std,5,0.2727272727272727
1482,NW-flex,5,1.0
1482,BWA-no-clip,6,0.8181818181818182
1482,BWA-std,6,0.36363636363636365
1482,NW-flex,6,1.0
1482,BWA-no-clip,7,0.8181818181818182
1482,BWA-std,7,0.2727272727272727
1482,NW-flex,7,1.0
1482,BWA-no-clip,8,0.8181818181818182
1482,BWA-std,8,0.45454545454545453
1482,NW-flex,8,1.0
1482,BWA-no-clip,9,0.9090909090909091
1482,BWA-std,9,0.45454545454545453
1482,NW-flex,9,1.0
1482,BWA-no-clip,10,0.9090909090909091
1482,BWA-std,10,0.45454545454545453
1482,NW-flex,10,1.0
1483,BWA-no-clip,1,0.2727272727272727
1483,BWA-std,1,0.09090909090909091
1483,NW-flex,1,1.0
1483,BWA-no-clip,2,0.36363636363636365
1483,BWA-std,2,0.09090909090909091
1483,NW-flex,2,1.0
1483,BWA-no-clip,3,0.5454545454545454
1483,BWA-std,3,0.18181818181818182
1483,NW-flex,3,1.0
1483,BWA-no-clip,4,0.7272727272727273
1483,BWA-std,4,0.09090909090909091
1483,NW-flex,4,1.0
1483,BWA-no-clip,5,0.7272727272727273
1483,BWA-std,5,0.2727272727272727
1483,NW-flex,5,1.0
1483,BWA-no-clip,6,0.7272727272727273
1483,BWA-std,6,0.36363636363636365
1483,NW-flex,6,1.0
1483,BWA-no-clip,7,0.9090909090909091
1483,BWA-std,7,0.2727272727272727
1483,NW-flex,7,1.0
1483,BWA-no-clip,8,1.0
1483,BWA-std,8,0.45454545454545453
1483,NW-flex,8,1.0
1483,BWA-no-clip,9,1.0
1483,BWA-std,9,0.45454545454545453
1483,NW-flex,9,1.0
1483,BWA-no-clip,10,1.0
1483,BWA-std,10,0.45454545454545453
1483,NW-flex,10,1.0
1484,BWA-no-clip,1,0.5454545454545454
1484,BWA-std,1,0.09090909090909091
1484,NW-flex,1,1.0
1484,BWA-no-clip,2,0.6363636363636364
1484,BWA-std,2,0.09090909090909091
1484,NW-flex,2,1.0
1484,BWA-no-clip,3,0.6363636363636364
1484,BWA-std,3,0.18181818181818182
1484,NW-flex,3,1.0
1484,BWA-no-clip,4,0.7272727272727273
1484,BWA-std,4,0.09090909090909091
1484,NW-flex,4,1.0
1484,BWA-no-clip,5,0.7272727272727273
1484,BWA-std,5,0.2727272727272727
1484,NW-flex,5,1.0
1484,BWA-no-clip,6,0.7272727272727273
1484,BWA-std,6,0.36363636363636365
1484,NW-flex,6,1.0
1484,BWA-no-clip,7,0.9090909090909091
1484,BWA-std,7,0.2727272727272727
1484,NW-flex,7,1.0
1484,BWA-no-clip,8,0.9090909090909091
1484,BWA-std,8,0.45454545454545453
1484,NW-flex,8,1.0
1484,BWA-no-clip,9,1.0
1484,BWA-std,9,0.45454545454545453
1484,NW-flex,9,1.0
1484,BWA-no-clip,10,1.0
1484,BWA-std,10,0.45454545454545453
1484,NW-flex,10,1.0
1485,BWA-no-clip,1,0.5454545454545454
1485,BWA-std,1,0.09090909090909091
1485,NW-flex,1,1.0
1485,BWA-no-clip,2,0.6363636363636364
1485,BWA-std,2,0.09090909090909091
1485,NW-flex,2,1.0
1485,BWA-no-clip,3,0.6363636363636364
1485,BWA-std,3,0.18181818181818182
1485,NW-flex,3,1.0
1485,BWA-no-clip,4,0.7272727272727273
1485,BWA-std,4,0.09090909090909091
1485,NW-flex,4,1.0
1485,BWA-no-clip,5,0.7272727272727273
1485,BWA-std,5,0.2727272727272727
1485,NW-flex,5,1.0
1485,BWA-no-clip,6,0.9090909090909091
1485,BWA-std,6,0.36363636363636365
1485,NW-flex,6,1.0
1485,BWA-no-clip,7,1.0
1485,BWA-std,7,0.2727272727272727
1485,NW-flex,7,1.0
1485,BWA-no-clip,8,1.0
1485,BWA-std,8,0.45454545454545453
1485,NW-flex,8,1.0
1485,BWA-no-clip,9,1.0
1485,BWA-std,9,0.45454545454545453
1485,NW-flex,9,1.0
1485,BWA-no-clip,10,1.0
1485,BWA-std,10,0.45454545454545453
1485,NW-flex,10,1.0
1486,BWA-no-clip,1,0.09090909090909091
1486,BWA-std,1,0.09090909090909091
1486,NW-flex,1,1.0
1486,BWA-no-clip,2,0.09090909090909091
1486,BWA-std,2,0.09090909090909091
1486,NW-flex,2,1.0
1486,BWA-no-clip,3,0.5454545454545454
1486,BWA-std,3,0.09090909090909091
1486,NW-flex,3,1.0
1486,BWA-no-clip,4,0.6363636363636364
1486,BWA-std,4,0.09090909090909091
1486,NW-flex,4,1.0
1486,BWA-no-clip,5,0.8181818181818182
1486,BWA-std,5,0.2727272727272727
1486,NW-flex,5,1.0
1486,BWA-no-clip,6,0.8181818181818182
1486,BWA-std,6,0.36363636363636365
1486,NW-flex,6,1.0
1486,BWA-no-clip,7,0.9090909090909091
1486,BWA-std,7,0.2727272727272727
1486,NW-flex,7,1.0
1486,BWA-no-clip,8,1.0
1486,BWA-std,8,0.45454545454545453
1486,NW-flex,8,1.0
1486,BWA-no-clip,9,1.0
1486,BWA-std,9,0.45454545454545453
1486,NW-flex,9,1.0
1486,BWA-no-clip,10,1.0
1486,BWA-std,10,0.45454545454545453
1486,NW-flex,10,1.0
1487,BWA-no-clip,1,0.5454545454545454
1487,BWA-std,1,0.09090909090909091
1487,NW-flex,1,1.0
1487,BWA-no-clip,2,0.5454545454545454
1487,BWA-std,2,0.09090909090909091
1487,NW-flex,2,1.0
1487,BWA-no-clip,3,0.6363636363636364
1487,BWA-std,3,0.18181818181818182
1487,NW-flex,3,1.0
1487,BWA-no-clip,4,0.6363636363636364
1487,BWA-std,4,0.09090909090909091
1487,NW-flex,4,1.0
1487,BWA-no-clip,5,0.8181818181818182
1487,BWA-std,5,0.2727272727272727
1487,NW-flex,5,1.0
1487,BWA-no-clip,6,0.8181818181818182
1487,BWA-std,6,0.36363636363636365
1487,NW-flex,6,1.0
1487,BWA-no-clip,7,0.9090909090909091
1487,BWA-std,7,0.2727272727272727
1487,NW-flex,7,1.0
1487,BWA-no-clip,8,0.9090909090909091
1487,BWA-std,8,0.45454545454545453
1487,NW-flex,8,1.0
1487,BWA-no-clip,9,1.0
1487,BWA-std,9,0.45454545454545453
1487,NW-flex,9,1.0
1487,BWA-no-clip,10,1.0
1487,BWA-std,10,0.45454545454545453
1487,NW-flex,10,1.0
1488,BWA-no-clip,1,0.09090909090909091
1488,BWA-std,1,0.09090909090909091
1488,NW-flex,1,1.0
1488,BWA-no-clip,2,0.5454545454545454
1488,BWA-std,2,0.09090909090909091
1488,NW-flex,2,1.0
1488,BWA-no-clip,3,0.6363636363636364
1488,BWA-std,3,0.18181818181818182
1488,NW-flex,3,1.0
1488,BWA-no-clip,4,0.6363636363636364
1488,BWA-std,4,0.09090909090909091
1488,NW-flex,4,1.0
1488,BWA-no-clip,5,0.8181818181818182
1488,BWA-std,5,0.2727272727272727
1488,NW-flex,5,1.0
1488,BWA-no-clip,6,0.8181818181818182
1488,BWA-std,6,0.36363636363636365
1488,NW-flex,6,1.0
1488,BWA-no-clip,7,0.8181818181818182
1488,BWA-std,7,0.2727272727272727
1488,NW-flex,7,1.0
1488,BWA-no-clip,8,0.9090909090909091
1488,BWA-std,8,0.45454545454545453
1488,NW-flex,8,1.0
1488,BWA-no-clip,9,1.0
1488,BWA-std,9,0.45454545454545453
1488,NW-flex,9,1.0
1488,BWA-no-clip,10,1.0
1488,BWA-std,10,0.45454545454545453
1488,NW-flex,10,1.0
1489,BWA-no-clip,1,0.5454545454545454
1489,BWA-std,1,0.09090909090909091
1489,NW-flex,1,1.0
1489,BWA-no-clip,2,0.5454545454545454
1489,BWA-std,2,0.09090909090909091
1489,NW-flex,2,1.0
1489,BWA-no-clip,3,0.7272727272727273
1489,BWA-std,3,0.18181818181818182
1489,NW-flex,3,1.0
1489,BWA-no-clip,4,0.8181818181818182
1489,BWA-std,4,0.09090909090909091
1489,NW-flex,4,1.0
1489,BWA-no-clip,5,0.9090909090909091
1489,BWA-std,5,0.2727272727272727
1489,NW-flex,5,1.0
1489,BWA-no-clip,6,1.0
1489,BWA-std,6,0.36363636363636365
1489,NW-flex,6,1.0
1489,BWA-no-clip,7,1.0
1489,BWA-std,7,0.2727272727272727
1489,NW-flex,7,1.0
1489,BWA-no-clip,8,0.9090909090909091
1489,BWA-std,8,0.45454545454545453
1489,NW-flex,8,1.0
1489,BWA-no-clip,9,1.0
1489,BWA-std,9,0.45454545454545453
1489,NW-flex,9,1.0
1489,BWA-no-clip,10,1.0
1489,BWA-std,10,0.45454545454545453
1489,NW-flex,10,1.0
1490,BWA-no-clip,1,0.09090909090909091
1490,BWA-std,1,0.09090909090909091
1490,NW-flex,1,1.0
1490,BWA-no-clip,2,0.09090909090909091
1490,BWA-std,2,0.09090909090909091
1490,NW-flex,2,1.0
1490,BWA-no-clip,3,0.09090909090909091
1490,BWA-std,3,0.09090909090909091
1490,NW-flex,3,1.0
1490,BWA-no-clip,4,0.5454545454545454
1490,BWA-std,4,0.09090909090909091
1490,NW-flex,4,1.0
1490,BWA-no-clip,5,0.7272727272727273
1490,BWA-std,5,0.2727272727272727
1490,NW-flex,5,1.0
1490,BWA-no-clip,6,0.8181818181818182
1490,BWA-std,6,0.36363636363636365
1490,NW-flex,6,1.0
1490,BWA-no-clip,7,0.9090909090909091
1490,BWA-std,7,0.2727272727272727
1490,NW-flex,7,1.0
1490,BWA-no-clip,8,1.0
1490,BWA-std,8,0.45454545454545453
1490,NW-flex,8,1.0
1490,BWA-no-clip,9,1.0
1490,BWA-std,9,0.45454545454545453
1490,NW-flex,9,1.0
1490,BWA-no-clip,10,1.0
1490,BWA-std,10,0.45454545454545453
1490,NW-flex,10,1.0
1491,BWA-no-clip,1,0.09090909090909091
1491,BWA-std,1,0.09090909090909091
1491,NW-flex,1,1.0
1491,BWA-no-clip,2,0.5454545454545454
