pind,arm,snv_offset,correct
400,BWA-no-clip,0,0.6272727272727273
400,BWA-std,0,0.12727272727272726
400,NW-flex,0,1.0
400,BWA-no-clip,1,0.6636363636363637
400,BWA-std,1,0.12727272727272726
400,NW-flex,1,1.0
400,BWA-no-clip,10,0.8181818181818182
400,BWA-std,10,0.41818181818181815
400,NW-flex,10,1.0
400,BWA-no-clip,2,0.7515151515151515
400,BWA-std,2,0.13636363636363635
400,NW-flex,2,1.0
400,BWA-no-clip,3,0.7636363636363637
400,BWA-std,3,0.14545454545454545
400,NW-flex,3,1.0
400,BWA-no-clip,5,0.7909090909090909
400,BWA-std,5,0.2
400,NW-flex,5,1.0
400,BWA-no-clip,-1,0.8181818181818182
400,BWA-std,-1,0.41818181818181815
400,NW-flex,-1,1.0
401,BWA-no-clip,0,0.5272727272727272
401,BWA-std,0,0.13636363636363635
401,NW-flex,0,0.996969696969697
401,BWA-no-clip,1,0.6727272727272727
401,BWA-std,1,0.12727272727272726
401,NW-flex,1,1.0
401,BWA-no-clip,10,0.8272727272727273
401,BWA-std,10,0.4090909090909091
401,NW-flex,10,1.0
401,BWA-no-clip,2,0.6272727272727273
401,BWA-std,2,0.12727272727272726
401,NW-flex,2,1.0
401,BWA-no-clip,3,0.7454545454545455
401,BWA-std,3,0.13636363636363635
401,NW-flex,3,1.0
401,BWA-no-clip,5,0.7909090909090909
401,BWA-std,5,0.19090909090909092
401,NW-flex,5,1.0
401,BWA-no-clip,-1,0.8272727272727273
401,BWA-std,-1,0.4090909090909091
401,NW-flex,-1,1.0
402,BWA-no-clip,0,0.6272727272727273
402,BWA-std,0,0.12727272727272726
402,NW-flex,0,1.0
402,BWA-no-clip,1,0.6636363636363637
402,BWA-std,1,0.12727272727272726
402,NW-flex,1,1.0
402,BWA-no-clip,10,0.8181818181818182
402,BWA-std,10,0.41818181818181815
402,NW-flex,10,1.0
402,BWA-no-clip,2,0.7515151515151515
402,BWA-std,2,0.13636363636363635
402,NW-flex,2,1.0
402,BWA-no-clip,3,0.7636363636363637
402,BWA-std,3,0.14545454545454545
402,NW-flex,3,1.0
402,BWA-no-clip,5,0.7909090909090909
402,BWA-std,5,0.2
402,NW-flex,5,1.0
402,BWA-no-clip,-1,0.8181818181818182
402,BWA-std,-1,0.41818181818181815
402,NW-flex,-1,1.0
403,BWA-no-clip,0,0.6181818181818182
403,BWA-std,0,0.12727272727272726
403,NW-flex,0,0.996969696969697
403,BWA-no-clip,1,0.7
403,BWA-std,1,0.12727272727272726
