pind1,pind2,arm,bridge_len,correct
411,5145,BWA-no-clip,1,0.5785123966942148
411,5145,BWA-std,1,0.6446280991735537
411,5145,NW-flex,1,1.0
411,5145,BWA-no-clip,2,1.0
411,5145,BWA-std,2,1.0
411,5145,NW-flex,2,1.0
411,5145,BWA-no-clip,3,1.0
411,5145,BWA-std,3,1.0
411,5145,NW-flex,3,1.0
411,5145,BWA-no-clip,4,0.7107438016528925
411,5145,BWA-std,4,0.7768595041322314
411,5145,NW-flex,4,1.0
411,5145,BWA-no-clip,5,1.0
411,5145,BWA-std,5,1.0
411,5145,NW-flex,5,1.0
424,6377,BWA-no-clip,1,0.45454545454545453
424,6377,BWA-std,1,0.6033057851239669
424,6377,NW-flex,1,1.0
424,6377,BWA-no-clip,2,1.0
424,6377,BWA-std,2,1.0
424,6377,NW-flex,2,1.0
424,6377,BWA-no-clip,3,1.0
424,6377,BWA-std,3,1.0
424,6377,NW-flex,3,1.0
424,6377,BWA-no-clip,4,1.0
424,6377,BWA-std,4,1.0
424,6377,NW-flex,4,1.0
424,6377,BWA-no-clip,5,1.0
424,6377,BWA-std,5,1.0
424,6377,NW-flex,5,1.0
451,5724,BWA-no-clip,1,0.45454545454545453
451,5724,BWA-std,1,0.5867768595041323
451,5724,NW-flex,1,1.0
451,5724,BWA-no-clip,2,1.0
451,5724,BWA-std,2,1.0
451,5724,NW-flex,2,1.0
451,5724,BWA-no-clip,3,1.0
451,5724,BWA-std,3,1.0
451,5724,NW-flex,3,1.0
451,5724,BWA-no-clip,4,1.0
451,5724,BWA-std,4,1.0
451,5724,NW-flex,4,1.0
451,5724,BWA-no-clip,5,1.0
451,5724,BWA-std,5,1.0
451,5724,NW-flex,5,1.0
455,4393,BWA-no-clip,1,0.30578512396694213
455,4393,BWA-std,1,0.4462809917355372
455,4393,NW-flex,1,1.0
455,4393,BWA-no-clip,2,1.0
455,4393,BWA-std,2,1.0
455,4393,NW-flex,2,1.0
455,4393,BWA-no-clip,3,1.0
455,4393,BWA-std,3,1.0
455,4393,NW-flex,3,1.0
455,4393,BWA-no-clip,4,1.0
455,4393,BWA-std,4,1.0
455,4393,NW-flex,4,1.0
455,4393,BWA-no-clip,5,1.0
455,4393,BWA-std,5,1.0
455,4393,NW-flex,5,1.0
521,4288,BWA-no-clip,1,0.24793388429752067
521,4288,BWA-std,1,0.36363636363636365
521,4288,NW-flex,1,1.0
521,4288,BWA-no-clip,2,0.628099173553719
521,4288,BWA-std,2,0.628099173553719
521,4288,NW-flex,2,1.0
521,4288,BWA-no-clip,3,0.6363636363636364
521,4288,BWA-std,3,0.71900826446281
521,4288,NW-flex,3,1.0
521,4288,BWA-no-clip,4,0.8677685950413223
521,4288,BWA-std,4,0.9256198347107438
521,4288,NW-flex,4,1.0
521,4288,BWA-no-clip,5,1.0
521,4288,BWA-std,5,1.0
521,4288,NW-flex,5,1.0
529,5776,BWA-no-clip,1,0.24793388429752067
529,5776,BWA-std,1,0.38016528925619836
529,5776,NW-flex,1,1.0
529,5776,BWA-no-clip,2,0.6363636363636364
529,5776,BWA-std,2,0.7355371900826446
529,5776,NW-flex,2,1.0
529,5776,BWA-no-clip,3,0.7024793388429752
529,5776,BWA-std,3,0.7933884297520661
529,5776,NW-flex,3,1.0
529,5776,BWA-no-clip,4,0.9008264462809917
529,5776,BWA-std,4,0.9256198347107438
529,5776,NW-flex,4,1.0
529,5776,BWA-no-clip,5,1.0
529,5776,BWA-std,5,1.0
529,5776,NW-flex,5,1.0
530,3440,BWA-no-clip,1,0.21487603305785125
530,3440,BWA-std,1,0.4380165289256198
530,3440,NW-flex,1,1.0
530,3440,BWA-no-clip,2,1.0
530,3440,BWA-std,2,1.0
530,3440,NW-flex,2,1.0
530,3440,BWA-no-clip,3,1.0
530,3440,BWA-std,3,1.0
530,3440,NW-flex,3,1.0
530,3440,BWA-no-clip,4,1.0
530,3440,BWA-std,4,1.0
530,3440,NW-flex,4,1.0
530,3440,BWA-no-clip,5,1.0
530,3440,BWA-std,5,1.0
530,3440,NW-flex,5,1.0
550,5356,BWA-no-clip,1,0.2066115702479339
550,5356,BWA-std,1,0.4132231404958678
550,5356,NW-flex,1,1.0
550,5356,BWA-no-clip,2,1.0
550,5356,BWA-std,2,1.0
550,5356,NW-flex,2,1.0
550,5356,BWA-no-clip,3,1.0
550,5356,BWA-std,3,1.0
550,5356,NW-flex,3,1.0
550,5356,BWA-no-clip,4,1.0
550,5356,BWA-std,4,1.0
550,5356,NW-flex,4,1.0
550,5356,BWA-no-clip,5,1.0
550,5356,BWA-std,5,1.0
550,5356,NW-flex,5,1.0
565,2909,BWA-no-clip,1,0.6694214876033058
565,2909,BWA-std,1,0.7024793388429752
565,2909,NW-flex,1,1.0
565,2909,BWA-no-clip,2,1.0
565,2909,BWA-std,2,1.0
565,2909,NW-flex,2,1.0
565,2909,BWA-no-clip,3,1.0
565,2909,BWA-std,3,1.0
565,2909,NW-flex,3,1.0
565,2909,BWA-no-clip,4,1.0
565,2909,BWA-std,4,1.0
565,2909,NW-flex,4,1.0
565,2909,BWA-no-clip,5,1.0
565,2909,BWA-std,5,1.0
565,2909,NW-flex,5,1.0
608,2730,BWA-no-clip,1,0.17355371900826447
608,2730,BWA-std,1,0.5454545454545454
608,2730,NW-flex,1,1.0
608,2730,BWA-no-clip,2,0.7107438016528925
608,2730,BWA-std,2,0.7520661157024794
608,2730,NW-flex,2,1.0
608,2730,BWA-no-clip,3,1.0
608,2730,BWA-std,3,1.0
608,2730,NW-flex,3,1.0
608,2730,BWA-no-clip,4,1.0
608,2730,BWA-std,4,1.0
608,2730,NW-flex,4,1.0
