N,snv_offset,motif_len,arm,delta,lflank,n_loci,frac_P,frac_T,frac_M,frac_D,frac_score_eq_truth,frac_P_fwd,frac_T_fwd,frac_M_fwd,frac_D_fwd,frac_score_eq_truth_fwd,frac_P_rc,frac_T_rc,frac_M_rc,frac_D_rc,frac_score_eq_truth_rc
5,-1,1,BWA-no-clip,-5,1,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-no-clip,-5,2,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-no-clip,-5,3,399.0,0.5664160401002506,0.0,0.0,0.43358395989974935,0.5664160401002506,0.002506265664160401,0.0,0.5639097744360902,0.43358395989974935,0.002506265664160401,0.5664160401002506,0.0,0.0,0.43358395989974935,0.5664160401002506
5,-1,1,BWA-no-clip,-5,4,399.0,0.7744360902255639,0.0,0.0,0.22556390977443608,0.7744360902255639,0.005012531328320802,0.0,0.7694235588972431,0.22556390977443608,0.005012531328320802,0.7744360902255639,0.0,0.0,0.22556390977443608,0.7744360902255639
5,-1,1,BWA-no-clip,-5,5,399.0,0.9047619047619048,0.0,0.0,0.09523809523809523,0.9047619047619048,0.005012531328320802,0.0,0.899749373433584,0.09523809523809523,0.005012531328320802,0.9047619047619048,0.0,0.0,0.09523809523809523,0.9047619047619048
5,-1,1,BWA-no-clip,-5,6,399.0,0.974937343358396,0.0,0.0,0.02506265664160401,0.974937343358396,0.005012531328320802,0.0,0.9699248120300752,0.02506265664160401,0.005012531328320802,0.974937343358396,0.0,0.0,0.02506265664160401,0.974937343358396
5,-1,1,BWA-no-clip,-5,7,399.0,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.40601503759398494,0.0,0.5889724310776943,0.005012531328320802,0.40601503759398494,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792
5,-1,1,BWA-no-clip,-5,8,399.0,1.0,0.0,0.0,0.0,1.0,0.6616541353383458,0.0,0.3383458646616541,0.0,0.6616541353383458,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-5,9,399.0,1.0,0.0,0.0,0.0,1.0,0.9223057644110275,0.0,0.07769423558897243,0.0,0.9223057644110275,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-5,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,1,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-no-clip,-4,2,399.0,0.7368421052631579,0.0,0.0,0.2631578947368421,0.7368421052631579,0.002506265664160401,0.7343358395989975,0.0,0.2631578947368421,0.7368421052631579,0.7368421052631579,0.0,0.0,0.2631578947368421,0.7368421052631579
5,-1,1,BWA-no-clip,-4,3,399.0,0.8671679197994987,0.0,0.0,0.13283208020050125,0.8671679197994987,0.005012531328320802,0.2982456140350877,0.5639097744360902,0.13283208020050125,0.3032581453634085,0.8671679197994987,0.0,0.0,0.13283208020050125,0.8671679197994987
5,-1,1,BWA-no-clip,-4,4,399.0,1.0,0.0,0.0,0.0,1.0,0.005012531328320802,0.22556390977443608,0.7694235588972431,0.0,0.23057644110275688,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,5,399.0,1.0,0.0,0.0,0.0,1.0,0.005012531328320802,0.08270676691729323,0.9122807017543859,0.0,0.08771929824561403,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,6,399.0,1.0,0.0,0.0,0.0,1.0,0.005012531328320802,0.03759398496240601,0.9573934837092731,0.0,0.042606516290726815,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,7,399.0,1.0,0.0,0.0,0.0,1.0,0.5914786967418546,0.012531328320802004,0.39598997493734334,0.0,0.6040100250626567,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,8,399.0,1.0,0.0,0.0,0.0,1.0,0.8847117794486216,0.002506265664160401,0.11278195488721804,0.0,0.8872180451127819,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-4,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-3,1,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-no-clip,-3,2,399.0,0.7368421052631579,0.0,0.0,0.2631578947368421,0.7368421052631579,0.002506265664160401,0.0,0.7343358395989975,0.2631578947368421,0.002506265664160401,0.7368421052631579,0.0,0.0,0.2631578947368421,0.7368421052631579
5,-1,1,BWA-no-clip,-3,3,399.0,0.8671679197994987,0.0,0.0,0.13283208020050125,0.8671679197994987,0.005012531328320802,0.0,0.8621553884711779,0.13283208020050125,0.005012531328320802,0.8671679197994987,0.0,0.0,0.13283208020050125,0.8671679197994987
5,-1,1,BWA-no-clip,-3,4,399.0,0.9523809523809523,0.0,0.0,0.047619047619047616,0.9523809523809523,0.005012531328320802,0.0,0.9473684210526315,0.047619047619047616,0.005012531328320802,0.9523809523809523,0.0,0.0,0.047619047619047616,0.9523809523809523
5,-1,1,BWA-no-clip,-3,5,399.0,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.3433583959899749,0.0,0.6466165413533834,0.010025062656641603,0.3433583959899749,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,-3,6,399.0,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.5263157894736842,0.0,0.46867167919799496,0.005012531328320802,0.5263157894736842,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792
5,-1,1,BWA-no-clip,-3,7,399.0,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.7994987468671679,0.0,0.19799498746867167,0.002506265664160401,0.7994987468671679,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395
5,-1,1,BWA-no-clip,-3,8,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-3,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-3,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-2,1,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-no-clip,-2,2,399.0,0.7368421052631579,0.0,0.0,0.2631578947368421,0.7368421052631579,0.002506265664160401,0.0,0.7343358395989975,0.2631578947368421,0.002506265664160401,0.7368421052631579,0.0,0.0,0.2631578947368421,0.7368421052631579
5,-1,1,BWA-no-clip,-2,3,399.0,0.9674185463659147,0.0,0.0,0.03258145363408521,0.9674185463659147,0.002506265664160401,0.13283208020050125,0.8320802005012531,0.03258145363408521,0.13533834586466165,0.9674185463659147,0.0,0.0,0.03258145363408521,0.9674185463659147
5,-1,1,BWA-no-clip,-2,4,399.0,0.9849624060150376,0.0,0.0,0.015037593984962405,0.9849624060150376,0.13283208020050125,0.047619047619047616,0.8045112781954887,0.015037593984962405,0.18045112781954886,0.9849624060150376,0.0,0.0,0.015037593984962405,0.9849624060150376
5,-1,1,BWA-no-clip,-2,5,399.0,0.9924812030075187,0.0,0.0,0.007518796992481203,0.9924812030075187,0.3433583959899749,0.010025062656641603,0.6390977443609023,0.007518796992481203,0.3533834586466165,0.9924812030075187,0.0,0.0,0.007518796992481203,0.9924812030075187
5,-1,1,BWA-no-clip,-2,6,399.0,0.9924812030075187,0.0,0.0,0.007518796992481203,0.9924812030075187,0.681704260651629,0.005012531328320802,0.3057644110275689,0.007518796992481203,0.6867167919799498,0.9924812030075187,0.0,0.0,0.007518796992481203,0.9924812030075187
5,-1,1,BWA-no-clip,-2,7,399.0,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792
5,-1,1,BWA-no-clip,-2,8,399.0,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395
5,-1,1,BWA-no-clip,-2,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-2,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,-1,1,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-no-clip,-1,2,399.0,0.706766917293233,0.0,0.0,0.2932330827067669,0.706766917293233,0.706766917293233,0.0,0.0,0.2932330827067669,0.706766917293233,0.706766917293233,0.0,0.0,0.2932330827067669,0.706766917293233
5,-1,1,BWA-no-clip,-1,3,399.0,0.899749373433584,0.0,0.0,0.10025062656641603,0.899749373433584,0.899749373433584,0.0,0.0,0.10025062656641603,0.899749373433584,0.899749373433584,0.0,0.0,0.10025062656641603,0.899749373433584
5,-1,1,BWA-no-clip,-1,4,399.0,0.9674185463659147,0.0,0.0,0.03258145363408521,0.9674185463659147,0.9674185463659147,0.0,0.0,0.03258145363408521,0.9674185463659147,0.9674185463659147,0.0,0.0,0.03258145363408521,0.9674185463659147
5,-1,1,BWA-no-clip,-1,5,399.0,0.9799498746867168,0.0,0.0,0.020050125313283207,0.9799498746867168,0.9799498746867168,0.0,0.0,0.020050125313283207,0.9799498746867168,0.9799498746867168,0.0,0.0,0.020050125313283207,0.9799498746867168
5,-1,1,BWA-no-clip,-1,6,399.0,0.9824561403508771,0.0,0.0,0.017543859649122806,0.9824561403508771,0.9824561403508771,0.0,0.0,0.017543859649122806,0.9824561403508771,0.9824561403508771,0.0,0.0,0.017543859649122806,0.9824561403508771
5,-1,1,BWA-no-clip,-1,7,399.0,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,-1,8,399.0,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,-1,9,399.0,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395
5,-1,1,BWA-no-clip,-1,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,1,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,2,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,3,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,4,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,5,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,6,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,7,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,8,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,0,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,1,1,399.0,0.6741854636591479,0.0,0.0,0.3258145363408521,0.6741854636591479,0.6741854636591479,0.0,0.0,0.3258145363408521,0.6741854636591479,0.6090225563909775,0.06516290726817042,0.0,0.3258145363408521,0.6741854636591479
5,-1,1,BWA-no-clip,1,2,399.0,0.8847117794486216,0.0,0.0,0.11528822055137844,0.8847117794486216,0.8847117794486216,0.0,0.0,0.11528822055137844,0.8847117794486216,0.8571428571428571,0.02756892230576441,0.0,0.11528822055137844,0.8847117794486216
5,-1,1,BWA-no-clip,1,3,399.0,0.9598997493734336,0.0,0.0,0.040100250626566414,0.9598997493734336,0.9598997493734336,0.0,0.0,0.040100250626566414,0.9598997493734336,0.949874686716792,0.010025062656641603,0.0,0.040100250626566414,0.9598997493734336
5,-1,1,BWA-no-clip,1,4,399.0,0.9724310776942355,0.0,0.0,0.02756892230576441,0.9724310776942355,0.9724310776942355,0.0,0.0,0.02756892230576441,0.9724310776942355,0.9699248120300752,0.002506265664160401,0.0,0.02756892230576441,0.9724310776942355
5,-1,1,BWA-no-clip,1,5,399.0,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563
5,-1,1,BWA-no-clip,1,6,399.0,0.9874686716791979,0.0,0.0,0.012531328320802004,0.9874686716791979,0.9874686716791979,0.0,0.0,0.012531328320802004,0.9874686716791979,0.9874686716791979,0.0,0.0,0.012531328320802004,0.9874686716791979
5,-1,1,BWA-no-clip,1,7,399.0,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,1,8,399.0,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395
