arm,motif1_len,motif2_len,mean_frac_score_eq_truth
BWA-no-clip,1,1,0.8455004591368228
BWA-no-clip,1,2,0.8103535353535354
BWA-no-clip,1,3,0.8124022038567493
BWA-no-clip,2,1,0.8330808080808081
BWA-no-clip,2,2,0.7827823691460055
BWA-no-clip,2,3,0.7998457300275482
BWA-no-clip,3,1,0.8295482093663912
BWA-no-clip,3,2,0.8101818181818182
BWA-no-clip,3,3,0.7627933884297521
BWA-std,1,1,0.847704315886134
BWA-std,1,2,0.8476469237832874
BWA-std,1,3,0.8424187327823691
BWA-std,2,1,0.864761248852158
BWA-std,2,2,0.8671735537190083
BWA-std,2,3,0.8486831955922866
BWA-std,3,1,0.8562589531680441
BWA-std,3,2,0.8504462809917356
BWA-std,3,3,0.8159063360881542
NW-flex,1,1,1.0
NW-flex,1,2,1.0
NW-flex,1,3,1.0
NW-flex,2,1,1.0
NW-flex,2,2,1.0
NW-flex,2,3,1.0
NW-flex,3,1,1.0
NW-flex,3,2,1.0
NW-flex,3,3,1.0
