arm,N1,N2,bridge_len,n_loci,mean,p10,p25,median,p75,p90,frac_loci_at_100pct,frac_loci_at_95pct,frac_loci_at_50pct
BWA-no-clip,5,15,1,172.0,0.45199884681914276,0.24049586776859505,0.2809917355371901,0.4628099173553719,0.6033057851239669,0.6528925619834711,0.0,0.0,0.46511627906976744
BWA-no-clip,5,15,3,172.0,0.9151931577935806,0.71900826446281,0.8822314049586777,1.0,1.0,1.0,0.5930232558139535,0.6511627906976745,0.9767441860465116
BWA-no-clip,5,15,5,172.0,0.9909667499519508,0.9834710743801653,1.0,1.0,1.0,1.0,0.877906976744186,0.9069767441860465,1.0
BWA-no-clip,10,10,1,172.0,0.4476744186046512,0.2231404958677686,0.2809917355371901,0.4628099173553719,0.6115702479338843,0.6603305785123967,0.0,0.0,0.4418604651162791
BWA-no-clip,10,10,3,172.0,0.91384778012685,0.7041322314049587,0.8801652892561984,1.0,1.0,1.0,0.5930232558139535,0.6627906976744186,0.9709302325581395
BWA-no-clip,10,10,5,172.0,0.9913030943686334,0.9834710743801653,1.0,1.0,1.0,1.0,0.877906976744186,0.9127906976744186,1.0
BWA-std,5,15,1,172.0,0.56034979819335,0.39752066115702483,0.45454545454545453,0.5702479338842975,0.6632231404958677,0.71900826446281,0.0,0.0,0.6395348837209303
BWA-std,5,15,3,172.0,0.9320103786277147,0.7446280991735537,0.9070247933884297,1.0,1.0,1.0,0.5988372093023255,0.6744186046511628,0.9883720930232558
BWA-std,5,15,5,172.0,0.994041898904478,0.9834710743801653,1.0,1.0,1.0,1.0,0.877906976744186,0.9476744186046512,1.0
BWA-std,10,10,1,172.0,0.5434845281568326,0.371900826446281,0.4380165289256198,0.5537190082644629,0.6611570247933884,0.7024793388429752,0.0,0.0,0.6046511627906976
BWA-std,10,10,3,172.0,0.9332116086872958,0.7859504132231405,0.9090909090909091,1.0,1.0,1.0,0.5930232558139535,0.6569767441860465,0.9883720930232558
BWA-std,10,10,5,172.0,0.995002882952143,0.9834710743801653,1.0,1.0,1.0,1.0,0.877906976744186,0.9651162790697675,1.0
NW-flex,5,15,1,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,5,15,3,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,5,15,5,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,10,1,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,10,3,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,10,5,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
