arm,bridge_len,n_cells,mean_frac_score_eq_truth,p25_frac_score_eq_truth,median_frac_score_eq_truth,p75_frac_score_eq_truth,cells_at_100pct,cells_at_95pct
BWA-no-clip,1,121.0,0.42730463339092006,0.17372881355932204,0.410075329566855,0.5051789077212806,0.17355371900826447,0.17355371900826447
BWA-no-clip,2,121.0,0.7472685250035019,0.6487758945386064,0.7245762711864406,0.7801318267419962,0.17355371900826447,0.17355371900826447
BWA-no-clip,3,121.0,0.9042738634418142,0.8686440677966102,0.8997175141242938,0.9251412429378532,0.17355371900826447,0.17355371900826447
BWA-no-clip,4,121.0,0.9587399417907893,0.9444444444444444,0.9722222222222222,0.9783427495291902,0.17355371900826447,0.7355371900826446
BWA-no-clip,5,121.0,0.9792649141647601,0.9788135593220338,0.987758945386064,0.9915254237288136,0.17355371900826447,0.8760330578512396
BWA-std,1,121.0,0.5494817201288695,0.3422787193973635,0.594632768361582,0.8432203389830508,0.17355371900826447,0.19008264462809918
BWA-std,2,121.0,0.8036917713342984,0.7321092278719398,0.8112052730696798,0.9218455743879472,0.17355371900826447,0.23140495867768596
BWA-std,3,121.0,0.9293940950335403,0.8888888888888888,0.923728813559322,0.9698681732580038,0.17355371900826447,0.4049586776859504
BWA-std,4,121.0,0.9722066582621282,0.9661016949152542,0.9731638418079096,0.9943502824858758,0.19834710743801653,0.8760330578512396
BWA-std,5,121.0,0.9857395215638666,0.9825800376647834,0.9901129943502824,0.9971751412429378,0.2066115702479339,0.9586776859504132
NW-flex,1,121.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,2,121.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,3,121.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,4,121.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,5,121.0,1.0,1.0,1.0,1.0,1.0,1.0
