N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,-1,-5,1,5420,0.00018450184501845018,0.0
5,1,-5,1,5420,0.4040590405904059,0.5959409594095941
5,1,-5,2,5420,0.3671586715867159,0.3376383763837638
5,1,-5,3,5420,0.31365313653136534,0.1437269372693727
5,1,-5,4,5420,0.20018450184501846,0.05166051660516605
5,1,-5,5,5420,0.10608856088560886,0.017527675276752766
5,1,-5,6,5420,0.0470479704797048,0.005904059040590406
5,1,-5,7,5420,0.01918819188191882,0.0014760147601476014
5,1,-5,8,5420,0.005535055350553505,0.00018450184501845018
5,1,-5,9,5420,0.0014760147601476014,0.0
5,1,-5,10,5420,0.0007380073800738007,0.0
5,1,-4,1,5420,0.5826568265682657,0.4173431734317343
5,1,-4,2,5420,0.4833948339483395,0.18837638376383764
5,1,-4,3,5420,0.3501845018450184,0.07693726937269373
5,1,-4,4,5420,0.20830258302583027,0.02988929889298893
5,1,-4,5,5420,0.10719557195571956,0.010885608856088561
5,1,-4,6,5420,0.046678966789667896,0.003874538745387454
5,1,-4,7,5420,0.018819188191881917,0.0012915129151291514
5,1,-4,8,5420,0.005535055350553505,0.0
5,1,-4,9,5420,0.0014760147601476014,0.0
5,1,-4,10,5420,0.0007380073800738007,0.0
5,1,-3,1,5420,0.5826568265682657,0.4173431734317343
5,1,-3,2,5420,0.4833948339483395,0.18837638376383764
5,1,-3,3,5420,0.3501845018450184,0.07693726937269373
5,1,-3,4,5420,0.20830258302583027,0.02988929889298893
5,1,-3,5,5420,0.10719557195571956,0.010885608856088561
5,1,-3,6,5420,0.046678966789667896,0.003874538745387454
5,1,-3,7,5420,0.018819188191881917,0.0012915129151291514
5,1,-3,8,5420,0.005535055350553505,0.0
5,1,-3,9,5420,0.0014760147601476014,0.0
5,1,-3,10,5420,0.0007380073800738007,0.0
5,1,-2,1,5420,0.5826568265682657,0.4173431734317343
5,1,-2,2,5420,0.4833948339483395,0.18837638376383764
5,1,-2,3,5420,0.3501845018450184,0.07693726937269373
5,1,-2,4,5420,0.20830258302583027,0.02988929889298893
5,1,-2,5,5420,0.10719557195571956,0.010885608856088561
5,1,-2,6,5420,0.046678966789667896,0.003874538745387454
5,1,-2,7,5420,0.018819188191881917,0.0012915129151291514
5,1,-2,8,5420,0.005535055350553505,0.0
5,1,-2,9,5420,0.0014760147601476014,0.0
5,1,-2,10,5420,0.0007380073800738007,0.0
5,1,-1,1,5420,0.5826568265682657,0.4173431734317343
5,1,-1,2,5420,0.4833948339483395,0.18837638376383764
5,1,-1,3,5420,0.3501845018450184,0.07693726937269373
5,1,-1,4,5420,0.20830258302583027,0.02988929889298893
5,1,-1,5,5420,0.10719557195571956,0.010885608856088561
5,1,-1,6,5420,0.046678966789667896,0.003874538745387454
5,1,-1,7,5420,0.018819188191881917,0.0012915129151291514
5,1,-1,8,5420,0.005535055350553505,0.0
5,1,-1,9,5420,0.0014760147601476014,0.0
5,1,-1,10,5420,0.0007380073800738007,0.0
5,1,0,1,5420,0.5826568265682657,0.4173431734317343
5,1,0,2,5420,0.4833948339483395,0.18837638376383764
5,1,0,3,5420,0.3501845018450184,0.07693726937269373
5,1,0,4,5420,0.20830258302583027,0.02988929889298893
5,1,0,5,5420,0.10719557195571956,0.010885608856088561
5,1,0,6,5420,0.046678966789667896,0.003874538745387454
5,1,0,7,5420,0.018819188191881917,0.0012915129151291514
5,1,0,8,5420,0.005535055350553505,0.0
5,1,0,9,5420,0.0014760147601476014,0.0
5,1,0,10,5420,0.0007380073800738007,0.0
5,1,1,1,5420,0.5826568265682657,0.4173431734317343
5,1,1,2,5420,0.4833948339483395,0.18837638376383764
5,1,1,3,5420,0.3501845018450184,0.07693726937269373
5,1,1,4,5420,0.20830258302583027,0.02988929889298893
5,1,1,5,5420,0.10719557195571956,0.010885608856088561
5,1,1,6,5420,0.046678966789667896,0.003874538745387454
5,1,1,7,5420,0.018819188191881917,0.0012915129151291514
5,1,1,8,5420,0.005535055350553505,0.0
5,1,1,9,5420,0.0014760147601476014,0.0
5,1,1,10,5420,0.0007380073800738007,0.0
5,1,2,1,5420,0.5826568265682657,0.4173431734317343
