arm,N,snv_offset,n_cells,mean_frac_score_eq_truth,p25_frac_score_eq_truth,median_frac_score_eq_truth,p75_frac_score_eq_truth,cells_at_100pct,cells_at_95pct
BWA-no-clip,5,-1,110.0,0.7766839986581684,0.7220018450184502,0.9766605166051661,0.99940036900369,0.2818181818181818,0.5727272727272728
BWA-no-clip,5,1,110.0,0.5399261992619927,0.10636531365313653,0.61190036900369,0.9888376383763838,0.14545454545454545,0.3181818181818182
BWA-no-clip,5,2,110.0,0.614458235491446,0.18251845018450186,0.7780442804428045,0.9913284132841329,0.13636363636363635,0.38181818181818183
BWA-no-clip,5,5,110.0,0.6968466957396846,0.40350553505535053,0.9238929889298892,0.9904059040590406,0.09090909090909091,0.43636363636363634
BWA-no-clip,5,10,110.0,0.7704679637705467,0.71130073800738,0.9736162361623616,0.9988468634686347,0.23636363636363636,0.5636363636363636
BWA-no-clip,10,-1,110.0,0.7766236162361625,0.7219557195571955,0.9766605166051661,0.9994464944649446,0.2818181818181818,0.5727272727272728
BWA-no-clip,10,1,110.0,0.5399547131834954,0.10636531365313653,0.6121771217712177,0.9888376383763838,0.14545454545454545,0.3181818181818182
BWA-no-clip,10,2,110.0,0.6143156658839317,0.18671586715867158,0.7780442804428045,0.9914667896678967,0.13636363636363635,0.38181818181818183
BWA-no-clip,10,5,110.0,0.6965598792351559,0.403690036900369,0.9238929889298892,0.9904059040590406,0.09090909090909091,0.43636363636363634
BWA-no-clip,10,10,110.0,0.7704008721905401,0.71130073800738,0.9738929889298893,0.9988468634686347,0.23636363636363636,0.5636363636363636
BWA-no-clip,20,-1,110.0,0.7766169070781618,0.7218634686346863,0.9765682656826569,0.9994464944649446,0.2818181818181818,0.5727272727272728
BWA-no-clip,20,1,110.0,0.539959745051996,0.10636531365313653,0.6121771217712177,0.9888376383763838,0.14545454545454545,0.3181818181818182
BWA-no-clip,20,2,110.0,0.6143123113049314,0.18671586715867158,0.7780442804428045,0.9914667896678967,0.13636363636363635,0.38181818181818183
BWA-no-clip,20,5,110.0,0.6965548473666555,0.403690036900369,0.9238929889298892,0.9904059040590406,0.09090909090909091,0.43636363636363634
BWA-no-clip,20,10,110.0,0.7703941630325395,0.7112546125461254,0.9738929889298893,0.9988468634686347,0.23636363636363636,0.5636363636363636
BWA-std,5,-1,110.0,0.27087722240858775,0.0,0.0,0.971540590405904,0.2,0.2636363636363636
BWA-std,5,1,110.0,0.12951358604495136,0.0,0.0,0.0,0.09090909090909091,0.1
BWA-std,5,2,110.0,0.135790003354579,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635
BWA-std,5,5,110.0,0.13528178463602816,0.0,0.0,0.0,0.1,0.12727272727272726
BWA-std,5,10,110.0,0.26162026165716207,0.0,0.0,0.9474630996309963,0.17272727272727273,0.2545454545454545
BWA-std,10,-1,110.0,0.27089734988258973,0.0,0.0,0.9719557195571956,0.2,0.2636363636363636
BWA-std,10,1,110.0,0.12951358604495136,0.0,0.0,0.0,0.09090909090909091,0.1
BWA-std,10,2,110.0,0.1357229117745723,0.0,0.0,0.0,0.09090909090909091,0.12727272727272726
BWA-std,10,5,110.0,0.13530358939953038,0.0,0.0,0.0,0.1,0.12727272727272726
BWA-std,10,10,110.0,0.2616420664206642,0.0,0.0,0.9474630996309963,0.17272727272727273,0.2545454545454545
BWA-std,20,-1,110.0,0.27089734988258973,0.0,0.0,0.9719557195571956,0.2,0.2636363636363636
BWA-std,20,1,110.0,0.12951358604495136,0.0,0.0,0.0,0.09090909090909091,0.1
BWA-std,20,2,110.0,0.1357229117745723,0.0,0.0,0.0,0.09090909090909091,0.12727272727272726
BWA-std,20,5,110.0,0.13530358939953038,0.0,0.0,0.0,0.1,0.12727272727272726
BWA-std,20,10,110.0,0.2616420664206642,0.0,0.0,0.9474630996309963,0.17272727272727273,0.2545454545454545
NW-flex,5,-1,110.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,5,1,110.0,0.923272391814827,0.9230627306273063,0.9916051660516605,1.0,0.3,0.6909090909090909
NW-flex,5,2,110.0,0.9924723247232473,0.9981549815498155,1.0,1.0,0.6727272727272727,0.9818181818181818
NW-flex,5,5,110.0,0.9993290841999329,0.9992619926199262,1.0,1.0,0.7909090909090909,1.0
NW-flex,5,10,110.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,-1,110.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,1,110.0,0.9271402214022139,0.9230627306273063,0.992619926199262,1.0,0.3,0.7
NW-flex,10,2,110.0,0.9957564575645755,0.9981549815498155,1.0,1.0,0.7,1.0
NW-flex,10,5,110.0,0.9993911439114391,0.9992619926199262,1.0,1.0,0.8,1.0
NW-flex,10,10,110.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,20,-1,110.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,20,1,110.0,0.9271402214022139,0.9230627306273063,0.992619926199262,1.0,0.3,0.7
NW-flex,20,2,110.0,0.9957564575645755,0.9981549815498155,1.0,1.0,0.7,1.0
NW-flex,20,5,110.0,0.9993911439114391,0.9992619926199262,1.0,1.0,0.8,1.0
NW-flex,20,10,110.0,1.0,1.0,1.0,1.0,1.0,1.0
