arm,snv_offset,n_locus_cells,frac_strands_disagree,frac_fwd_only_correct,frac_rc_only_correct
BWA-no-clip,-1,1788600,0.06664709828916471,0.0006502292295650229,0.05883148831488315
BWA-no-clip,1,1788600,0.46454545454545454,0.007202840210220284,0.06686514592418652
BWA-no-clip,2,1788600,0.16059543777255955,0.0015268925416526892,0.03437772559543777
BWA-no-clip,3,1788600,0.07827015542882701,0.0011668343956166834,0.03482276640948228
BWA-no-clip,4,1788600,0.04910320921391032,0.0010292966566029297,0.03693671027619367
BWA-no-clip,5,1788600,0.0491250139774125,0.0008710723470871072,0.03882757463938276
BWA-no-clip,6,1788600,0.05141171866264117,0.0007217935815721794,0.0421569942972157
BWA-no-clip,10,1788600,0.06471709717097171,0.0006524656155652465,0.05641171866264117
BWA-no-clip,11,1788600,0.06664709828916471,0.0006502292295650229,0.05883148831488315
BWA-std,-1,1788600,0.012119534831711954,7.827351000782735e-06,0.0119819970926982
BWA-std,1,1788600,0.028979648887397964,5.3673264005367324e-05,8.386447500838645e-06
BWA-std,2,1788600,0.0049670133064967014,2.2922956502292296e-05,5.590965000559097e-07
BWA-std,3,1788600,0.0017097170971709717,2.6836632002683662e-05,5.590965000559097e-07
BWA-std,4,1788600,0.0006491110365649111,1.9009281001900927e-05,5.590965000559097e-07
BWA-std,5,1788600,0.0003114167505311417,1.3418316001341831e-05,1.6772895001677289e-06
BWA-std,6,1788600,0.0030906854523090684,1.845018450184502e-05,0.0029537068097953705
BWA-std,10,1788600,0.01212009392821201,7.2682545007268255e-06,0.0119819970926982
BWA-std,11,1788600,0.012119534831711954,7.827351000782735e-06,0.0119819970926982
NW-flex,-1,1788600,0.003200268366320027,0.0,0.0
NW-flex,1,1788600,0.0022039584032203957,0.0,0.0
NW-flex,2,1788600,0.005544559991054456,0.0,0.0
NW-flex,3,1788600,0.005408140445040814,0.0,0.0
NW-flex,4,1788600,0.004513586044951359,0.0,0.0
NW-flex,5,1788600,0.0037280554623728055,0.0,0.0
NW-flex,6,1788600,0.0034552163703455217,0.0,0.0
NW-flex,10,1788600,0.0032025047523202505,0.0,0.0
NW-flex,11,1788600,0.003200268366320027,0.0,0.0
